state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,churn_binary,unique_id,total_charges,account_length_group_years,yrr_group
MI,146,408,false,false,0,149.3,83,25.38,187.1,130,15.9,149.8,100,6.74,7.9,4,2.13,7,true,1,698ecfeb-a9b1-4866-9356-a9a912811fc6,50.150000000000006,12-16,$40.00 - $59.99
HI,99,408,false,false,0,135.7,107,23.07,208.4,103,17.71,209,95,9.4,8.8,3,2.38,7,true,1,5d347680-686f-4ca4-b971-2f0a989fbf91,52.56,8-12,$40.00 - $59.99
AR,115,415,false,false,0,139.3,89,23.68,192.3,95,16.35,151,75,6.8,9.3,3,2.51,7,true,1,a9d223b0-0829-4d42-bb92-a9a0d1ace70c,49.339999999999996,8-12,$40.00 - $59.99
OH,82,415,false,false,0,207.2,114,35.22,163.7,97,13.91,192.8,79,8.68,9.3,4,2.51,7,false,0,57eb69e2-250d-42d7-830e-5fc9d5a25d71,60.319999999999993,4-8,$60.00 - $79.99
GA,136,415,false,false,0,163.4,83,27.78,249.3,119,21.19,249.7,90,11.24,9.8,4,2.65,7,false,0,5d113ae0-7751-4c98-9127-b3e80b2e6d8a,62.86,8-12,$60.00 - $79.99
AL,86,415,false,false,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,true,1,0a640ce7-fbad-4a1a-afac-255854fd21fe,48.080000000000005,4-8,$40.00 - $59.99
WV,159,415,false,false,0,181,107,30.77,188.4,114,16.01,175.8,41,7.91,9.9,4,2.67,7,false,0,a1572a4b-182d-4b48-b91c-422f2be6081c,57.36,12-16,$40.00 - $59.99
OH,93,415,false,true,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,false,0,e9aaff16-220f-4ed4-9ccb-e27bb15ed164,63.689999999999991,4-8,$60.00 - $79.99
SC,64,510,false,true,40,210,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,false,0,df8eb1d0-2388-47fc-900c-b09e768991c0,64.67,4-8,$60.00 - $79.99
NH,103,408,false,false,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,true,1,8366689b-c900-451c-acd8-0ec0c3f67f06,52.730000000000004,8-12,$40.00 - $59.99
WV,176,510,false,false,0,304.2,111,51.71,306.6,64,26.06,207.9,98,9.36,9.5,2,2.57,7,true,1,8c3dbd7c-855d-4b28-98c9-6f3bbd9c6f51,89.699999999999989,12-16,$80.00 - $99.99
MN,152,415,true,true,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,true,1,164c5345-4eb0-4e30-b687-184b78975ff4,77.679999999999993,12-16,$60.00 - $79.99
HI,149,510,false,false,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,false,0,95219b88-b419-40a1-a21f-a521a6417d7f,58.5,12-16,$40.00 - $59.99
